frame,time,tries,hash
0,0.0208,1,DC1575DDA51E7BB938C61473658072D1
1,0.0625,4,DC1575DDA51E7BB938C61473658072D1
2,0.1042,4,DC1575DDA51E7BB938C61473658072D1
3,0.1458,4,DC1575DDA51E7BB938C61473658072D1
4,0.1875,4,DC1575DDA51E7BB938C61473658072D1
5,0.2292,1,B069C9F688312B6DAB082C484114EFCC
6,0.2708,1,D8737ADA2BC0FA013080110C3E4BA88E
7,0.3125,1,2386900C69B3FA8AA60542DD8F1FDD54
8,0.3542,1,D181C0875FBE36E0D9AE95EE1E6EAF16
9,0.3958,1,D95C5B65B92610B463113FDEEFD58844
10,0.4375,1,19DAEEA7919FBC9E11657A410E36A967
11,0.4792,1,A3B96EC67266F20856834AB45F43CCE4
12,0.5208,1,5FC38AF000774EBBE61058961878B1EE
13,0.5625,1,A99DE63D9D8D8DB0B5451442F8C94870
14,0.6042,1,1D432C9FDB3C3E8D70D261CDFB6AE558
15,0.6458,1,FDFCDAA42FC3BFA0A8F598B53143B3B3
16,0.6875,1,9375AEAC80C68680CE3D919C40E1AA02
17,0.7292,1,DCDA8933B3EE76B2E39AA07F2890AD19
18,0.7708,1,FC8775E9F0966C43C414E6AF92494BAD
19,0.8125,1,4A239C49EFB36DD74DC64EEB2EC00474
20,0.8542,1,8EB38CF4D2BD17D6EB1756616757B9B8
21,0.8958,1,8E3AF32C22D12C85A243BDC49436F7CD
22,0.9375,1,40C8750CA7FB4124C3B123F23841B462
23,0.9792,1,52CA6431389AB0535AD9406F6E11EFA3
24,1.0208,1,321313C70898957A29DEFED936D058A9
25,1.0625,1,EB5DE8B8913DF3A0501DB453ADAE681A
26,1.1042,1,2AE8A3FF15DBD999673D624B96A66134
27,1.1458,1,6A0D4AA5B1DC80F86F8B25364BB47A44
28,1.1875,1,D24B2963E79C4928CA53C5D0839EA867
29,1.2292,1,54665D07B9D45FA1B536F23232BCB784
30,1.2708,1,AA87633478A5B1051F185314DB455965
31,1.3125,1,07EF672D23647E7D3120F9DC0EF450CA
32,1.3542,1,6C23E9336A9C0080931DA62F7EFCD4B8
33,1.3958,1,B1E47222C62908AFD39CF2DA268254CA
34,1.4375,1,AB3E47B6D08677C87F2AA0C460C6DAA0
35,1.4792,1,0A0BD87345AD75DCB46E1CA496E6C3D7
36,1.5208,1,B611D07F65AD3FAF761EE0471784F493
37,1.5625,1,24EF6F9427E554C9FE2A79126D9C4518
38,1.6042,1,66AD2CA3BC530D020CBE742C51D2BCF7
39,1.6458,1,9279BB780720CCF28148B93C3025EB1C
40,1.6875,1,D24D9A494435EF8A2FB9B92C0D38923C
41,1.7292,1,54E0F6D466F0F61D20056088B68AF7F4
42,1.7708,1,A778DCEA85756F999642AA157FAD35BC
43,1.8125,1,B6E591F8715A808B36FA8C00C71B2FE2
44,1.8542,1,B4292D122B03100B933344348C074374
45,1.8958,1,0E6A03B4F2D03373C386547F84DDEC31
46,1.9375,1,006516992F14CB8125FCCB2DDED238F6
47,1.9792,1,DD6BC410266A3F3C11FDB60731A9F1A8
48,2.0208,1,39FEBF26C43FE4D9A43D41BD78A8E941
49,2.0625,1,C6282FEB08A225F2C8D67D7D0AA74B63
50,2.1042,1,02816601D2EE47063FF727F1B76A024F
51,2.1458,1,EBC7C8A6F8940F3F3AEB5DE7A541FCF2
52,2.1875,1,F5A3412B0DF1C1E20A9F579F875150D7
53,2.2292,1,AE5E5D1165B593AED27D8C2EC7EE2D40
54,2.2708,1,B40E08F7C20E04B0A0D435EECF9F1997
55,2.3125,1,9A2C62FDB52D43C6D9455487A2B008B2
56,2.3542,1,DBADC3C999D6101B2285F58A10AC243B
57,2.3958,1,D2E8B693527A222E733E5710FD849608
58,2.4375,1,18122E70AA9BEADFCDA0694354CC2B6A
59,2.4792,1,31B1E2220B54544ADC35C50A563015CA
60,2.5208,1,C94B7421482D944ACF6A87FBCACFB36D
61,2.5625,1,25C1BA88791F096D57EC21154B01479D
62,2.6042,1,FA85D2DBBEB9B1B3FC116951C222DDBB
63,2.6458,1,93A31685D01043A8E5FA517477823E47
64,2.6875,1,9128EB962C763D8AF56C247E7A31CAEB
65,2.7292,1,0D0B56F90318C791D028906C205A455C
66,2.7708,1,D8BAE06505A6B73E24A37C6BA092A99A
67,2.8125,1,1B35E344D1EABEF84839A7722AEC3BB0
68,2.8542,1,832C4EA0695400055A742A4488CBF0A5
69,2.8958,1,08ECBDCA20BA900E2E8388EFE9E87B90
70,2.9375,1,F78BC725513BB7FBB9BF3C4E4F5D75B1
71,2.9792,1,205F32D319C0984553E598B46A27C9CC
72,3.0208,1,894877FDBF4E71110B5E5453252F71FE
73,3.0625,1,84A5D3A5A8F7230399780C59F707E032
74,3.1042,1,66EE85BE84466E6F4D8B2205DC2163EC
75,3.1458,1,BB464EF32429DAF0A16FBFA285EF9F51
76,3.1875,1,69410F3C3F72BC159D75F7485C509CB2
77,3.2292,1,95EACB87D69A8ADF5EEA813B81F72B31
78,3.2708,1,63C3551AB3781BC0D813F20E830CD94E
79,3.3125,1,D5CBE0ACAC50D79D35926A64E258D9AA
80,3.3542,1,C2845C924B9475A81A2CE11AC11158E0
81,3.3958,1,25B329E1E5B93B34422148FBFA1C28F9
82,3.4375,1,45B28CE9C7386304C3DF83FA8198E9C6
83,3.4792,1,BF735A11B125689EC2CEBE532353A384
84,3.5208,4,BF735A11B125689EC2CEBE532353A384
85,3.5625,4,BF735A11B125689EC2CEBE532353A384
86,3.6042,1,987958A3D5CA64CD74D84B97FE6781C5
87,3.6458,1,AB2DFDB5BD81219EFDE3E64C5F55E43D
88,3.6875,1,AFC942D78E73DC03F406C14E46F983C8
89,3.7292,1,A58FA0A593ABC96EEE05AE91AE8EBA3D
90,3.7708,1,3CB1FC8E55625DB00325988B6677718E
91,3.8125,1,7AB533080EFC2C319C5FEBBDAD185FD0
92,3.8542,1,67595262AB2AFA804E178658121237FF
93,3.8958,1,36EAB0BC3D9CA35707A94A11A55CBFFF
94,3.9375,1,EBF62CA7450C4FC3A75A6C5110DA4C99
95,3.9792,1,15FEB400D904F517B08DC6D25E5D81F8
96,4.0208,1,F36577387D6A07BFA89F2351F92EC851
97,4.0625,1,81AE0B4FC3584C2F52B6D82A0AC41DA6
98,4.1042,1,8AC9E1C592B58FEBD1DBF097E73D481E
99,4.1458,1,A9911640FB4B1E31809B27464EB87E01
100,4.1875,1,2DC4C618333337FE0BED15DC879B1195
101,4.2292,1,C7EF2964B71B235D232400C1996527EB
102,4.2708,1,CE14A33A636C7992EBA88151A556515B
103,4.3125,1,8286D20A381BBBEC306D11090BD36DC2
104,4.3542,1,C9923DB6A71C55EECBF1C8E2990F7259
105,4.3958,1,B25B02D87511FB8774CEA31F2B594744
106,4.4375,1,20CE96222D143D728421A1DBC0113729
107,4.4792,1,3810096035FE9C510DCC8E419E46AA6D
108,4.5208,1,B1C3E038639518C3B9EEF0BD9036B948
109,4.5625,1,7559E10C1FD9CECB0BCD81F5B4E7BECB
110,4.6042,1,D7569E459D58FA76B16D6DE76F51F136
111,4.6458,1,674DC65CC6D31C2981F8DC02C2B8A4D0
112,4.6875,1,F530B9D4B487987F119385890875CAAD
113,4.7292,1,12D24558A0F03F1D8839DBD0249D879A
114,4.7708,1,547632F59E02F6CF6295A59E8D1406B7
115,4.8125,1,79E8164D060D4D7236D4303151AF4549
116,4.8542,1,860364567A8BB9F489FAA64EB168305F
117,4.8958,1,4FF28612F9B9FDCDB78178C1C88039CB
118,4.9375,1,8379F8EC051B98D2F7E43EE13B3CADB7
119,4.9792,1,7F2B4BEB035360E570B54D8594A52C30
120,5.0208,1,0D36FDC9F4BD0A1F472C8DF8F45D561F
121,5.0625,1,4357D22F40B79B9824DDEE1CF4A34AF1
122,5.1042,1,4B94613EB015ACC6AD3398B4C0AD4B7C
123,5.1458,1,E1E683398FC5304E563A18D30C3BB80D
124,5.1875,1,D3DFA711009DEEBD2FFFE9009AB07CC5
125,5.2292,1,A5D3EBC3AD42A6FC8787DF959C42FEB6
126,5.2708,1,79D1341E3F8D1991A1CDAF89AD9D259A
127,5.3125,1,097DBC928DDDFE66DFEE4F5CDBB3EDCE
128,5.3542,1,547DB072E8BC47506A915BFE1A9B723C
129,5.3958,1,232407269476C5A8AC02EFFA21F5C5C8
130,5.4375,1,2B298950809EA28B8302FFA53B591316
131,5.4792,1,B41A7A2D9AFAEE5D9CB94FE4ED9C8431
132,5.5208,1,665CD8ADBA504193FE66707888D79D97
133,5.5625,1,6A64F3941015C7B10739852077A603F9
134,5.6042,1,AF41B7766E5FE07D687B7EEDB801E72D
135,5.6458,1,EBE31FCF83EDA44485A902F21732C8C9
136,5.6875,1,32013078BF68DB5BE61188DB1FD5CAB1
137,5.7292,1,F566C6484D501AB472EF8D84F1878222
138,5.7708,1,CD687E590E37E81BBA75E0BB00EEA4B1
139,5.8125,1,63FEB54AF83CFF62205A14F9D86A6926
140,5.8542,1,47331B4D14943904A5F844D1BD5056F8
141,5.8958,1,C9ED76BD7BD23F015CFF57B47E539605
142,5.9375,1,BAB4AE265CC490834B7A81E35D0FBBCF
143,5.9792,1,F8185472534C3BAA2C922B946A693F84
144,6.0208,1,F05528FCB9DE68AC0A4C11C97511A0FE
145,6.0625,1,250C99935DB0332722C973F3DC56DC0A
146,6.1042,1,086A1F3E72FF9DE1F6F934A099BB3355
147,6.1458,1,DE09BA3C2A12E1D79FF1481C0749AB87
148,6.1875,1,70097D36A4AE50C37552EDD2F3AABF19
149,6.2292,1,6EF295E4EA8C5B5B68FC1060B11CCE3D
