192 frames. Change = mean |r|+|g|+|b| difference from the previous frame (0-765); bg = edge strips only.
frame  change  bg-chg  background rgb        noise  book left-right  top-bottom  width height  mark
    0       -       -  244.1 241.9 238.8   2.97    346-1026    118-994     680    876     0  
    1       0       0  244.1 241.9 238.8   2.97    346-1026    118-994     680    876     0  
    2       0       0  244.1 241.9 238.8   2.97    346-1026    118-994     680    876     0  
    3       0       0  244.1 241.9 238.8   2.97    346-1026    118-994     680    876     0  
    4       0       0  244.1 241.9 238.8   2.97    346-1026    118-994     680    876     0  
    5     0.4    0.25  244.2 241.9 238.9   2.95    348-1026    118-994     678    876     0  =
    6    0.17    0.07  244.2 242.0 238.9   2.95    348-1026    118-994     678    876     0  
    7    0.34     0.1  244.2 242.0 238.9   2.96    348-1024    118-994     676    876     0  =
    8    0.47    0.09  244.2 242.0 238.9   2.98    348-1026    120-994     678    874     0  =
    9    0.78    0.17  244.2 242.0 238.9   2.96    346-1024    118-994     678    876     0  =
   10    0.96    0.15  244.2 241.9 238.8   2.96    344-1024    118-994     680    876     0  ==
   11    0.96    0.27  244.1 241.9 238.8   2.98    342-1024    118-996     682    878     0  ==
   12    1.77    1.02  243.9 241.7 238.6   2.94    336-1026    118-996     690    878     0  ===
   13    1.44    0.24  244.0 241.7 238.6   2.93    336-1026    118-996     690    878     0  ==
   14    1.35    0.09  244.1 241.7 238.6   2.91    334-1026    118-998     692    880     0  ==
   15    1.35    0.11  244.1 241.8 238.6   2.89    332-1026    118-998     694    880     0  ==
   16    1.52    0.11  244.1 241.8 238.6   2.90    328-1026    118-1000    698    882     0  ==
   17    1.69    0.21  244.0 241.7 238.6   2.94    328-1026    116-1002    698    886     0  ===
   18    1.81    0.13  244.0 241.7 238.6   2.92    322-1026    116-1002    704    886     0  ===
   19    1.66    0.16  244.0 241.7 238.6   2.89    318-1028    116-1004    710    888     0  ===
   20    2.38    0.49  243.8 241.7 238.6   2.96    312-1028    114-1004    716    890     0  ====
